time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.front_left,.front_right,.rear_left,.rear_right
2021/09/10/13:52:51.141955,2092,1631296371,141481637,,85,85,87,84
2021/09/10/13:52:51.158333,2093,1631296371,157638072,,86,85,87,84
2021/09/10/13:52:51.183921,2094,1631296371,183473348,,87,85,87,84
2021/09/10/13:52:51.199794,2095,1631296371,199339866,,88,85,87,84
2021/09/10/13:52:51.225574,2096,1631296371,225275039,,89,85,87,84
2021/09/10/13:52:51.241696,2097,1631296371,241300106,,90,85,87,84
2021/09/10/13:52:51.257944,2098,1631296371,257372856,,91,88,83,88
2021/09/10/13:52:51.284682,2099,1631296371,284247875,,92,88,83,88
2021/09/10/13:52:51.300761,2100,1631296371,300241231,,93,88,83,88
2021/09/10/13:52:51.326767,2101,1631296371,326284885,,94,88,83,88
2021/09/10/13:52:51.342286,2102,1631296371,342050552,,95,88,83,88
2021/09/10/13:52:51.358749,2103,1631296371,358134984,,96,88,83,88
2021/09/10/13:52:51.384663,2104,1631296371,384087800,,97,89,83,88
2021/09/10/13:52:51.400570,2105,1631296371,400071859,,98,89,90,88
2021/09/10/13:52:51.426455,2106,1631296371,426080703,,99,89,90,88
2021/09/10/13:52:51.442333,2107,1631296371,441944599,,100,89,90,88
2021/09/10/13:52:51.458936,2108,1631296371,458027839,,101,89,90,88
2021/09/10/13:52:51.484287,2109,1631296371,483862638,,102,89,90,88
2021/09/10/13:52:51.500217,2110,1631296371,499833106,,103,89,90,88
2021/09/10/13:52:51.526185,2111,1631296371,525781154,,104,90,90,88
2021/09/10/13:52:51.541897,2112,1631296371,541652917,,105,90,86,88
2021/09/10/13:52:51.558259,2113,1631296371,557804584,,106,90,86,88
2021/09/10/13:52:51.584133,2114,1631296371,583724260,,107,90,86,88
2021/09/10/13:52:51.600380,2115,1631296371,599729537,,108,90,86,88
2021/09/10/13:52:51.625944,2116,1631296371,625534772,,109,90,86,88
2021/09/10/13:52:51.641930,2117,1631296371,641514778,,110,90,86,88
2021/09/10/13:52:51.658234,2118,1631296371,657578468,,111,90,93,88
2021/09/10/13:52:51.683987,2119,1631296371,683540582,,112,90,93,89
2021/09/10/13:52:51.700111,2120,1631296371,699494600,,113,90,93,89
2021/09/10/13:52:51.725691,2121,1631296371,725370407,,114,90,93,89
2021/09/10/13:52:51.741680,2122,1631296371,741342782,,115,90,93,89
2021/09/10/13:52:51.758258,2123,1631296371,757464170,,116,90,93,89
2021/09/10/13:52:51.784682,2124,1631296371,784334421,,117,91,93,89
2021/09/10/13:52:51.800928,2125,1631296371,800391912,,118,91,91,93
2021/09/10/13:52:51.826552,2126,1631296371,826223611,,119,91,91,93
2021/09/10/13:52:51.842527,2127,1631296371,842197656,,120,91,91,93
2021/09/10/13:52:51.859004,2128,1631296371,858255386,,121,91,91,93
2021/09/10/13:52:51.884513,2129,1631296371,884103536,,122,91,91,93
2021/09/10/13:52:51.900585,2130,1631296371,900107145,,123,91,91,93
2021/09/10/13:52:51.926290,2131,1631296371,926011085,,124,91,93,93
2021/09/10/13:52:51.942397,2132,1631296371,942010879,,125,91,93,92
2021/09/10/13:52:52.029491,2133,1631296372,29193639,,126,91,93,92
2021/09/10/13:52:52.030796,2134,1631296372,30519723,,127,91,93,92
2021/09/10/13:52:52.031275,2135,1631296372,30984878,,128,91,93,92
2021/09/10/13:52:52.058086,2136,1631296372,56943655,,129,93,93,92
2021/09/10/13:52:52.058134,2137,1631296372,57630300,,130,93,93,93
2021/09/10/13:52:52.084317,2138,1631296372,83846807,,131,93,93,93
2021/09/10/13:52:52.100235,2139,1631296372,99761486,,132,93,93,93
2021/09/10/13:52:52.126028,2140,1631296372,125624418,,133,93,93,93
2021/09/10/13:52:52.142049,2141,1631296372,141668558,,134,93,93,93
2021/09/10/13:52:52.158196,2142,1631296372,157683849,,135,96,93,93
2021/09/10/13:52:52.184081,2143,1631296372,183674812,,136,96,95,97
2021/09/10/13:52:52.200337,2144,1631296372,199599027,,137,96,95,97
2021/09/10/13:52:52.225811,2145,1631296372,225477933,,138,96,95,97
2021/09/10/13:52:52.241853,2146,1631296372,241416454,,139,96,95,97
2021/09/10/13:52:52.258347,2147,1631296372,257623910,,140,96,95,97
